;acceleration
627;0,02165
628;-0,00042
629;-0,02249
630;-0,04456
631;-0,03638
632;-0,02819
633;-0,02001
634;-0,01182
635;-0,02445
636;-0,03707
637;-0,04969
638;-0,05882
639;-0,06795
640;-0,07707
641;-0,0862
642;-0,09533
643;-0,06276
644;-0,03018
645;0,00239
646;0,03496
647;0,04399
648;0,05301
649;0,03176
650;0,01051
651;-0,01073
652;-0,03198
653;-0,05323
654;0,00186
655;0,05696
656;0,01985
657;-0,01726
658;-0,05438
659;-0,01204
660;0,03031
661;0,07265
662;0,11499
663;0,07237
664;0,02975
665;-0,01288
666;0,01212
667;0,03711
668;0,03517
669;0,03323
670;0,01853
671;0,00383
672;0,00342
673;-0,02181
674;-0,04704
675;-0,07227
676;-0,0975
677;-0,12273
678;-0,08317
679;-0,04362
680;-0,00407
681;0,03549
682;0,07504
683;0,1146
684;0,07769
685;0,04078
686;0,00387
687;0,00284
688;0,00182
689;-0,05513
690;0,04732
691;0,05223
692;0,05715
693;0,06206
694;0,06698
695;0,07189
696;0,02705
697;-0,01779
698;-0,06263
699;-0,10747
700;-0,15232
701;-0,12591
702;-0,0995
703;-0,07309
704;-0,04668
705;-0,02027
706;0,00614
707;0,03255
708;0,00859
709;-0,01537
710;-0,03932
711;-0,06328
712;-0,03322
713;-0,00315
714;0,02691
715;0,01196
716;-0,003
717;0,00335
718;0,0097
719;0,01605
720;0,02239
721;0,04215
722;0,06191
723;0,08167
724;0,03477
725;-0,01212
726;-0,01309
727;-0,01407
728;-0,05274
729;-0,02544
730;0,00186
731;0,02916
732;0,05646
733;0,08376
734;0,01754
735;-0,04869
736;-0,02074
737;0,00722
738;0,03517
739;-0,00528
740;-0,04572
741;-0,08617
742;-0,0696
743;-0,05303
744;-0,03646
745;-0,01989
746;-0,00332
747;0,01325
748;0,02982
749;0,01101
750;-0,00781
751;-0,02662
752;-0,00563
753;0,01536
754;0,03635
755;0,05734
756;0,03159
757;0,00584
758;-0,01992
759;-0,00201
760;0,01589
761;-0,01024
762;-0,03636
763;-0,06249
764;-0,0478
765;-0,03311
766;-0,04941
767;-0,0657
768;-0,082
769;-0,0498
770;-0,0176
771;0,0146
772;0,0468
773;0,079
774;0,0475
775;0,016
776;-0,0155
777;-0,00102
778;0,01347
779;0,02795
780;0,04244
781;0,05692
782;0,03781
783;0,0187
784;-0,00041
785;-0,01952
786;-0,00427
787;0,01098
788;0,02623
789;0,04148
790;0,01821
791;-0,00506
792;-0,00874
793;-0,03726
794;-0,06579
795;-0,026
796;0,0138
797;0,05359
798;0,09338
799;0,05883
800;0,02429
801;-0,01026
802;-0,0448
803;-0,01083
804;-0,01869
805;-0,02655
806;-0,03441
807;-0,02503
808;-0,01564
809;-0,00626
810;-0,01009
811;-0,01392
812;0,0149
813;0,04372
814;0,03463
815;0,02098
816;0,00733
817;-0,00632
818;-0,01997
819;0,00767
820;0,03532
821;0,03409
822;0,03287
823;0,03164
824;0,02403
825;0,01642
826;0,00982
827;0,00322
828;-0,00339
829;0,02202
830;-0,01941
831;-0,06085
832;-0,10228
833;-0,07847
834;-0,05466
835;-0,03084
836;-0,00703
837;0,01678
838;0,01946
839;0,02214
840;0,02483
841;0,01809
842;-0,00202
843;-0,02213
844;-0,00278
845;0,01656
846;0,0359
847;0,05525
848;0,07459
849;0,06203
850;0,04948
851;0,03692
852;-0,00145
853;0,04599
854;0,04079
855;0,03558
856;0,03037
857;0,03626
858;0,04215
859;0,04803
860;0,05392
861;0,04947
862;0,04502
863;0,04056
864;0,03611
865;0,03166
866;0,00614
867;-0,01937
868;-0,04489
869;-0,0704
870;-0,09592
871;-0,07745
872;-0,05899
873;-0,04052
874;-0,02206
875;-0,00359
876;0,01487
877;0,01005
878;0,00523
879;0,00041
880;-0,00441
881;-0,00923
882;-0,01189
883;-0,01523
884;-0,01856
885;-0,0219
886;-0,00983
887;0,00224
888;0,01431
889;0,00335
890;-0,0076
891;-0,01856
892;-0,00737
893;0,00383
894;0,01502
895;0,02622
896;0,01016
897;-0,0059
898;-0,02196
899;-0,00121
900;0,01953
901;0,04027
902;0,02826
903;0,01625
904;0,00424
905;0,00196
906;-0,00031
907;-0,00258
908;-0,00486
909;-0,00713
910;-0,00941
911;-0,01168
912;-0,01396
913;-0,0175
914;-0,02104
915;-0,02458
916;-0,02813
917;-0,03167
918;-0,03521
919;-0,04205
920;-0,04889
921;-0,03559
922;-0,02229
923;-0,00899
924;0,00431
925;0,01762
926;0,00714
927;-0,00334
928;-0,01383
929;0,01314
930;0,04011
931;0,06708
932;0,0482
933;0,02932
934;0,01043
935;-0,00845
936;-0,02733
937;-0,04621
938;-0,03155
939;-0,01688
940;-0,00222
941;0,01244
942;0,02683
943;0,04121
944;0,05559
945;0,03253
946;0,00946
947;-0,0136
948;-0,01432
949;-0,01504
950;-0,01576
951;-0,04209
952;-0,02685
953;-0,01161
954;0,00363
955;0,01887
956;0,03411
957;0,03115
958;0,02819
959;0,02917
960;0,03015
961;0,03113
962;0,00388
963;-0,02337
964;-0,05062
965;-0,0382
966;-0,02579
967;-0,01337
968;-0,00095
969;0,01146
970;0,02388
971;0,03629
972;0,01047
973;-0,01535
974;-0,04117
975;-0,06699
976;-0,05207
977;-0,03715
978;-0,02222
979;-0,0073
980;0,00762
981;0,02254
982;0,03747
983;0,04001
984;0,04256
985;0,04507
986;0,04759
987;0,0501
988;0,04545
989;0,0408
990;0,02876
991;0,01671
992;0,00467
993;-0,00738
994;-0,00116
995;0,00506
996;0,01128
997;0,0175
998;-0,00211
999;-0,02173
1000;-0,04135
1001;-0,06096
1002;-0,08058
1003;-0,06995
1004;-0,05931
1005;-0,04868
1006;-0,03805
1007;-0,02557
1008;-0,0131
1009;-0,00063
1010;0,01185
1011;0,02432
1012;0,0368
1013;0,04927
1014;0,02974
1015;0,01021
1016;-0,00932
1017;-0,02884
1018;-0,04837
1019;-0,0679
1020;-0,04862
1021;-0,02934
1022;-0,01006
1023;0,00922
1024;0,02851
1025;0,04779
1026;0,02456
1027;0,00133
1028;-0,0219
1029;-0,04513
1030;-0,06836
1031;-0,04978
1032;-0,0312
1033;-0,01262
1034;0,00596
1035;0,02453
1036;0,04311
1037;0,06169
1038;0,08027
1039;0,09885
1040;0,06452
1041;0,03019
1042;-0,00414
1043;-0,03848
1044;-0,07281
1045;-0,05999
1046;-0,04717
1047;-0,03435
1048;-0,03231
1049;-0,03028
1050;-0,02824
1051;-0,00396
1052;0,02032
1053;0,00313
1054;-0,01406
1055;-0,03124
1056;-0,04843
1057;-0,06562
1058;-0,05132
1059;-0,03702
1060;-0,02272
1061;-0,00843
1062;0,00587
1063;0,02017
1064;0,02698
1065;0,03379
1066;0,04061
1067;0,04742
1068;0,05423
1069;0,03535
1070;0,01647
1071;0,01622
1072;0,01598
1073;0,01574
1074;0,00747
1075;-0,0008
1076;-0,00907
1077;0,00072
1078;0,01051
1079;0,0203
1080;0,03009
1081;0,03989
1082;0,03478
1083;0,02967
1084;0,02457
1085;0,03075
1086;0,03694
1087;0,04313
1088;0,04931
1089;0,0555
1090;0,06168
1091;-0,00526
1092;-0,0722
1093;-0,06336
1094;-0,05451
1095;-0,04566
1096;-0,03681
1097;-0,03678
1098;-0,03675
1099;-0,03672
1100;-0,01765
1101;0,00143
1102;0,02051
1103;0,03958
1104;0,05866
1105;0,03556
1106;0,01245
1107;-0,01066
1108;-0,03376
1109;-0,05687
1110;-0,04502
1111;-0,03317
1112;-0,02131
1113;-0,00946
1114;0,00239
1115;-0,00208
1116;-0,00654
1117;-0,01101
1118;-0,01548
1119;-0,012
1120;-0,00851
1121;-0,00503
1122;-0,00154
1123;0,00195
1124;0,00051
1125;-0,00092
1126;0,01135
1127;0,02363
1128;0,0359
1129;0,04818
1130;0,06045
1131;0,07273
1132;0,02847
1133;-0,01579
1134;-0,06004
1135;-0,05069
1136;-0,04134
1137;-0,03199
1138;-0,03135
1139;-0,03071
1140;-0,03007
1141;-0,01863
